root,category,fixture,word,engine,outcome,median_ns,min_ns,max_ns,samples,below_floor,floor_ns,nonempty,predicate,construct,witness,note
machine,languages,fusional-realizational-morphology,panbenox,complete,ok,552100,552100,552100,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,pandex,complete,ok,302700,302700,302700,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,lexdom,complete,ok,253900,253900,253900,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,lexbedom,complete,ok,368300,368300,368300,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,lexbex,complete,ok,198100,198100,198100,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,ped,complete,ok,76100,76100,76100,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,xped,complete,ok,147900,147900,147900,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,yxped,complete,ok,222900,222900,222900,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,xpedz,complete,ok,279200,279200,279200,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,yxpedz,complete,ok,469000,469000,469000,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,kat,complete,ok,127500,127500,127500,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,sod,complete,ok,71300,71300,71300,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,lim,complete,ok,82800,82800,82800,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,katw,complete,ok,249500,249500,249500,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,sodw,complete,ok,162500,162500,162500,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,limw,complete,ok,158100,158100,158100,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,kath,complete,ok,259300,259300,259300,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,sodh,complete,ok,191500,191500,191500,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,limh,complete,ok,173100,173100,173100,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,sing,complete,ok,157800,157800,157800,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,sang,complete,ok,199900,199900,199900,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,mitlav,complete,ok,294900,294900,294900,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,ficlav,complete,ok,290100,290100,290100,1,false,100,true,,,,
machine,languages,fusional-realizational-morphology,seclav,complete,ok,263500,263500,263500,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,genlav,complete,ok,355600,355600,355600,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,mitlavlav,complete,ok,562300,562300,562300,1,false,100,false,,,,
machine,languages,fusional-realizational-morphology,,compiled,refused,,,,,false,100,,circumfix-output-action.faithful-structural-composite,mrule 14 allomorph #0 (LHS-material-dropping output action),"no allomorph of this allomorph's own rule classifies as crate::emit::Role::CircumfixPrefix (crate::emit::classify_affix, scanned over every allomorph), and its first allomorph does not classify as crate::emit::Role::None/Prefix/Suffix with LHS-material-dropping content either, or the rule uses OutputAction::Modify/InsertContext, so crate::emit::is_structural_rule never routes it through the faithful build_structural_composites construction -- the real compiler already honestly skips (reports uncovered) this exact allomorph rather than silently mis-compiling it",
machine,languages,fusional-realizational-morphology,,compiled,refused,,,,,false,100,,mpr-group.overwrite-output,MprGroup 0 (Overwrite),mpr-group.overwrite-output stays FailClosed permanently by default: a monotone-accumulation admission filter is unsound for history-dependent Overwrite replace semantics (pg_grammar::model::mpr_add_output's own doc; ADR 0001's own worked confirm-only trap). The ADR 0005 capability override is the on-ramp to force-compile it.,
machine,languages,metathesis-phase-isolation,nui,complete,ok,203800,203800,203800,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,niu,complete,ok,143900,143900,143900,1,false,100,false,,,,
machine,languages,metathesis-phase-isolation,mu+i,complete,ok,222900,222900,222900,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,mi,complete,ok,120800,120800,120800,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,pui,complete,ok,205400,205400,205400,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,sumulat,complete,ok,519700,519700,519700,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,sulat,complete,ok,271300,271300,271300,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,keadilan,complete,ok,525600,525600,525600,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,adil,complete,ok,197400,197400,197400,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,tutula,complete,ok,400700,400700,400700,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,tulatula,complete,ok,780900,780900,780900,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,tula,complete,ok,174500,174500,174500,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,pur,complete,ok,176100,176100,176100,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,pure,complete,ok,207500,207500,207500,1,false,100,true,,,,
