anakoya	ok	3P+2-NONPST-guardar-IND;3P+2-NONPST-3S+1-guardar-IND;6-NONPST-3S+1-guardar-IND;3S+1-NONPST-guardar-IND;3S+1-NONPST-3S+1-guardar-IND;6-NONPST-guardar-IND
zioneke	no-parse	-
pandzidzi	ok	16-9-vir-AGN-NZR;16-18-mocho;16-10-altura;16-18-vir-AGN-NZR;16-18-altura;16-1-vir-AGN-NZR;16-3-altura;16-9-mocho;16-10-vir-AGN-NZR;16-3-vir-AGN-NZR;16-9-altura;16-10-mocho
asadwala	ok	3S+1-HAB-ser doente-IND;3P+2-HAB-3S+1-ser doente-IND;6-HAB-ser doente-IND;3S+1-HAB-3S+1-ser doente-IND;3P+2-HAB-ser doente-IND;6-HAB-3S+1-ser doente-IND
uiriwawo	no-parse	-
zace	ok	10-assocpx-d'ele
tambir	no-parse	-
pyace	ok	8-assocpx-d'ele
asakwanisa	ok	6-HAB-conseguir-IND;ele+PST-procurar-PAS-REC-CAU-IND;6-HAB-3S+1-estar satisfeito-CAU-IND;3P+2-HAB-estar satisfeito-CAU-IND;3S+1-HAB-3S+1-conseguir-IND;3S+1-HAB-conseguir-IND;ele+PST-3S+1-procurar-PAS-REC-CAU-IND;3S+1-HAB-estar satisfeito-CAU-IND;6-HAB-3S+1-conseguir-IND;3P+2-HAB-3S+1-estar satisfeito-CAU-IND;6-HAB-estar satisfeito-CAU-IND;3P+2-HAB-3S+1-conseguir-IND;3P+2-HAB-conseguir-IND;3S+1-HAB-3S+1-estar satisfeito-CAU-IND
kulekererwa	no-parse	-
ang'onong'ono	no-parse	-
n'tima	no-parse	-
yatoma	ok	4+5+9-PASSADO-começar-IND;4+5+9-PASSADO-3S+1-começar-IND;4+5+9-PASSADO-1P-ver-IND
zisakhala	ok	10-HAB-ser-IND;10-HAB-3S+1-ser-IND
kanyindirwa	ok	PURP-confiar 2-PAS-IND;PURP-3S+1-confiar 2-PAS-IND
kucenembo	ok	15-blanco-SBJV-ADD;17-blanco-SBJV-ADD;15-3S+1-blanco-SBJV-ADD;17-3S+1-blanco-SBJV-ADD
nkodzi	no-parse	-
ndiizi	no-parse	-
maiwace	no-parse	-
ubodzi	ok	9-unidade;10-unidade
akhathasika	ok	3S+1-IMP-3S+1-estender-IND;6-IMP-3S+1-estender-IND;3P+2-IMP-3S+1-estender-IND;3S+1-IMP-estender-IND;3P+2-IMP-estender-IND;6-IMP-estender-IND
mbasaka	ok	COHES-6-3S+1-procurar-IND;COHES-6-procurar-IND;COHES-3S+1-procurar-IND;COHES-3P+2-3S+1-procurar-IND;COHES-3P+2-procurar-IND;COHES-3S+1-3S+1-procurar-IND
onesa	no-parse	-
pisakwanisika	SKIPPED_PATHOLOGICAL	-
kalonga	no-parse	-
nsuo	no-parse	-
kamero	ok	12-9-ter-APPLIC-acção;12-10-ter-APPLIC-acção;12-ter-APPLIC-acção;12-germinar-acção;12-9-germinar-acção;12-10-germinar-acção
mathangwi	ok	6-5-por causa de;6-10-por causa de;6-9-por causa de;6-por causa de
kutowera	ok	INF-segir atras de-IND;INF-3S+1-segir atras de-IND
kapasana	ok	PURP-dar-REC-IND;PURP-3S+1-dar-REC-IND;12-16-coluna vertebral;12-16-rato
ndinakutumira	ok	1S-NONPST-2S-mentir-APPLIC-IND;1S-NONPST-15-mentir-APPLIC-IND;1S-NONPST-17-mentir-APPLIC-IND;1S-NONPST-17-enviar-APPLIC-IND;1S-NONPST-2S-enviar-APPLIC-IND;1S-NONPST-15-enviar-APPLIC-IND
pinaphezeranji	no-parse	-
mbazinumphira	ok	COHES-6-10-saltar-APPLIC-IND;COHES-3P+2-10-saltar-APPLIC-IND;COHES-10-3S+1-saltar-APPLIC-IND;COHES-10-saltar-APPLIC-IND;COHES-10-4+5+9-saltar-APPLIC-IND;COHES-3S+1-10-saltar-APPLIC-IND
papi	ok	onde?
anyabasa	ok	2-trabalhador
udachita	ok	14-PLPRF-3S+1-descer-IND;14-PST2-3S+1-descer-IND;3-PLPRF-3S+1-descer-IND;2S-PLPRF-3S+1-descer-IND;3-PST2-3S+1-descer-IND;2S-PST2-3S+1-descer-IND;3-PST2-descer-IND;14-PST2-descer-IND;2S-PST2-descer-IND;3-PLPRF-descer-IND;14-PLPRF-descer-IND;2S-PLPRF-descer-IND
nyankhondo	no-parse	-
akhapidziwa	ok	6-IMP-8-vir-PAS-IND;3P+2-IMP-8-vir-PAS-IND;3S+1-IMP-8-vir-PAS-IND;3S+1-IMP-8-saber-IND;6-IMP-8-saber-IND;3P+2-IMP-8-saber-IND
pakumalapenepo	no-parse	-
pingasi	ok	8-18-acender-NZR;8-3-acender-NZR;8-9-acender-NZR;8-1-acender-NZR;8-10-acender-NZR
cipala	ok	7-16-dedo;7-16-pedra
ndibverenimbo	no-parse	-
yawangiratu	ok	4+5+9-PASSADO-3S+1-ter saúde-APPLIC-IND-INTENS;4+5+9-PASSADO-ter saúde-APPLIC-IND-INTENS
tenepa	ok	deste modo
ndisacita	ok	1S-HAB-fazer-IND;1S-HAB-3S+1-fazer-IND
mbabzala	ok	COHES-3S+1-semear-IND;COHES-3P+2-3S+1-semear-IND;COHES-3S+1-3S+1-semear-IND;COHES-6-semear-IND;COHES-3P+2-semear-IND;COHES-6-3S+1-semear-IND
nsua	ok	1-ilha;10-ilha;5-ilha;9-ilha
mbirimi	ok	9-ogulho;10-ogulho
mwandiona	ok	18-PASSADO-3S+1-é-ver-IND;3-PASSADO-é-ver-IND;2P-PASSADO-é-ver-IND;18-PASSADO-3S+1-é-ver-IND;2P-PASSADO-3S+1-é-ver-IND;18-PASSADO-é-ver-IND;2P-PASSADO-3S+1-é-ver-IND;3-PASSADO-3S+1-é-ver-IND;3-PASSADO-é-ver-IND;3-PASSADO-3S+1-é-ver-IND;18-PASSADO-é-ver-IND;2P-PASSADO-é-ver-IND
asirisbza	no-parse	-
asupai	ok	2-polícia
anbva	ok	ele+PST-2P-ouvir-IND;ele+PST-3S+1-ouvir-IND
used	no-parse	-
kaphatana	ok	PURP-pegar-REC-IND;PURP-3S+1-pegar-REC-IND
kudawa	ok	17-milando;INF-pecar-IND;17-10-milando;15-milando;17-9-milando;INF-3S+1-pecar-IND
kasasanhika	no-parse	-
ananbvesatany	no-parse	-
iyo	ok	eles
isaya	no-parse	-
masiku	ok	6-noite;6-9-noite;6-10-noite
agumanye	ok	6-3S+1-juntar-SBJV;3P+2-juntar-SBJV;6-juntar-SBJV;3P+2-3S+1-juntar-SBJV;3S+1-juntar-SBJV;3S+1-3S+1-juntar-SBJV
bvuni	ok	1-colher-NZR;9-pacificador;1-pacificador;5-colher-NZR;10-colher-NZR;9-colher-NZR;10-pacificador
akhantowera	ok	6-IMP-3S+1-segir atras de-IND;3P+2-IMP-2P-segir atras de-IND;3S+1-IMP-3S+1-segir atras de-IND;3S+1-IMP-2P-segir atras de-IND;3P+2-IMP-3S+1-segir atras de-IND;6-IMP-2P-segir atras de-IND
kugwandirwa	ok	INF-cortar-APPLIC-PAS-IND;INF-3S+1-cortar-APPLIC-PAS-IND
timeu	no-parse	-
kaphembera	ok	PURP-3S+1-pedir-APPLIC-IND;PURP-orar-IND;PURP-3S+1-orar-IND;PURP-pedir-APPLIC-IND
mungabva	ok	2P-COND-ouvir-IND;18-COND-3S+1-ouvir-IND;2P-COND-3S+1-ouvir-IND;18-COND-ouvir-IND
pidzindikiro	ok	8-9-sinal;8-9-reconhecer-acção;8-10-reconhecer-acção;8-10-sinal;8-sinal;8-reconhecer-acção
njipi	ok	o que?
nkamwa	ok	9-boca detro;18-boca detro;10-boca interior;9-boca interior;18-boca interior;10-boca detro
anabwa	ok	3P+2-NONPST-roubar-PAS-IND;3S+1-NONPST-3S+1-roubar-PAS-IND;3S+1-NONPST-roubar-PAS-IND;6-NONPST-3S+1-roubar-PAS-IND;3P+2-NONPST-3S+1-roubar-PAS-IND;6-NONPST-roubar-PAS-IND
mbikhala	ok	COHES-4+5+9-3S+1-ser-IND;COHES-4+5+9-ser-IND;COHES-1S-ser-IND;COHES-1S-3S+1-ser-IND
english	no-parse	-
ndinadza	ok	1S-NONPST-3S+1-vir-IND;1S-NONPST-vir-IND
akumbukirwe	ok	6-cavar-separado-APPLIC-PAS-SBJV;3S+1-lembrar-APPLIC-PAS-SBJV;6-3S+1-lembrar-APPLIC-PAS-SBJV;3S+1-3S+1-cavar-separado-APPLIC-PAS-SBJV;6-lembrar-APPLIC-PAS-SBJV;6-3S+1-cavar-separado-APPLIC-PAS-SBJV;3P+2-3S+1-lembrar-APPLIC-PAS-SBJV;3P+2-cavar-separado-APPLIC-PAS-SBJV;3S+1-cavar-separado-APPLIC-PAS-SBJV;3S+1-3S+1-lembrar-APPLIC-PAS-SBJV;3P+2-lembrar-APPLIC-PAS-SBJV;3P+2-3S+1-cavar-separado-APPLIC-PAS-SBJV
wangisira	no-parse	-
munalonga	no-parse	-
mukhacitira	ok	18-IMP-fazer-APPLIC-IND;2P-IMP-3S+1-fazer-APPLIC-IND;2P-IMP-fazer-APPLIC-IND;18-IMP-3S+1-fazer-APPLIC-IND
dzoya	ok	10-cabelo;9-cabelo
mbangudumirisa	no-parse	-
ya	ok	4+5+9-ASSOC
adyesa	ok	ele+PST-comer-CAU-IND;ele+PST-3S+1-comer-CAU-IND
kundiphemba	ok	INF-é-pedir-IND;INF-é-pedir-IND;INF-3S+1-é-pedir-IND;INF-1S-pedir-IND;INF-3S+1-é-pedir-IND
